ciBusinessName(EC),ciFiscalCode(EC),ptBusinessName(PT-EC Int),ptFiscalCode(PT-EC Int)
Comune di Monte Santa Maria Tiberina,81001650548,PagoPA SpA,15376371009
Comune di Monte Santa Maria Tiberina,81001650548,Intesa Sanpaolo SPA,00799960158
Comune di Monte Urano,81000910448,PagoPA SpA,15376371009
Comune di Monte Urano,81000910448,E-Fil S.r.l.,03789750100
Comune di Monte Urano,81000910448,Regione Marche,80008630420
Comune di Monte Urano,81000910448,ANDREANI TRIBUTI srl,01412920439
Comune di Monte Vidon Combatte,81000850446,PagoPA SpA,15376371009
Comune di Monte Vidon Combatte,81000850446,Regione Marche,80008630420
Comune di Monte Vidon Corrado,81001330448,PagoPA SpA,15376371009
Comune di Monte Vidon Corrado,81001330448,Regione Marche,80008630420
Comune di Monte Vidon Corrado,81001330448,eRemind srl – PMPAY,11311050964
Comune di Monte Vidon Corrado,81001330448,E-Fil S.r.l.,03789750100
Comune di Montebello della Battaglia,00273900183,PagoPA SpA,15376371009
Comune di Montebello della Battaglia,00273900183,Poste Italiane S.P.A.,97103880585
Comune di Montebello della Battaglia,00273900183,Regione Lombardia,80050050154
Comune di Montebello di Bertona,80001270687,PagoPA SpA,15376371009
Comune di Montebello di Bertona,80001270687,eRemind srl – PMPAY,11311050964
Comune di Montebello di Bertona,80001270687,SO.G.E.T. S.P.A.,01807790686
Comune di Montebello di Bertona,80001270687,Progetti e Soluzioni SPA,06423240727
Comune di Montebello Ionico,00710360801,PagoPA SpA,15376371009
Comune di Montebello Ionico,00710360801,E-Fil S.r.l.,03789750100
Comune di Montebello sul Sangro,81001740695,PagoPA SpA,15376371009
Comune di Montebello sul Sangro,81001740695,Advanced Systems S.p.A.,03383350638
Comune di Montebello Vicentino,00288650245,PagoPA SpA,15376371009
Comune di Montebello Vicentino,00288650245,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Montebello Vicentino,00288650245,Maggioli SPA,06188330150
Comune di Montebello Vicentino,00288650245,Regione del Veneto,80007580279
Comune di Montebelluna,00471230268,PagoPA SpA,15376371009
Comune di Montebelluna,00471230268,Abaco Spa,02391510266
Comune di Montebelluna,00471230268,CREDEMTEL SpA,01378570350
Comune di Montebelluna,00471230268,Regione del Veneto,80007580279
Comune di Montebruno,00955060108,PagoPA SpA,15376371009
Comune di Montebruno,00955060108,Regione Liguria,00849050109
Comune di Montebuono,00113280572,PagoPA SpA,15376371009
Comune di Montebuono,00113280572,APKAPPA S.R.L.,08543640158
Comune di Montecalvo in Foglia,00360650410,PagoPA SpA,15376371009
Comune di Montecalvo in Foglia,00360650410,Regione Marche,80008630420
Comune di Montecalvo in Foglia,00360650410,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Montecalvo Irpino,00176920643,PagoPA SpA,15376371009
Comune di Montecalvo Irpino,00176920643,Maggioli SPA,06188330150
Comune di Montecalvo Irpino,00176920643,CREDEMTEL SpA,01378570350
Comune di Montecalvo Versiggia,84000720189,PagoPA SpA,15376371009
Comune di Montecalvo Versiggia,84000720189,Regione Lombardia,80050050154
Comune di Montecalvo Versiggia,84000720189,Advanced Systems S.p.A.,03383350638
Comune di Montecalvo Versiggia,84000720189,ASSIST SPA,10596000017
Comune di Montecarlo,00197620461,PagoPA SpA,15376371009
Comune di Montecarlo,00197620461,E-Fil S.r.l.,03789750100
Comune di Montecarlo,00197620461,Dedagroup Public Services S.R.L.,01727860221
Comune di Montecarotto,00114600422,PagoPA SpA,15376371009
Comune di Montecarotto,00114600422,Regione Marche,80008630420
Comune di Montecassiano,00218320430,PagoPA SpA,15376371009
Comune di Montecassiano,00218320430,Regione Marche,80008630420
Comune di Montecassiano,00218320430,E-Fil S.r.l.,03789750100
Comune di Montecastello,00334680063,PagoPA SpA,15376371009
Comune di Montecastello,00334680063,Poste Italiane S.P.A.,97103880585
Comune di Montecastello,00334680063,APKAPPA S.R.L.,08543640158
Comune di Montecastrilli,00096090550,PagoPA SpA,15376371009
Comune di Montecastrilli,00096090550,Intesa Sanpaolo SPA,00799960158
Comune di Montecastrilli,00096090550,CREDEMTEL SpA,01378570350
Comune di Montecatini Terme,00181660473,PagoPA SpA,15376371009
Comune di Montecatini Terme,00181660473,Maggioli SPA,06188330150
Comune di Montecatini Terme,00181660473,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Montecatini Terme,00181660473,Regione Toscana,01386030488
Comune di Montecatini Terme,00181660473,KOINE' SRL,01934790971
Comune di Montecatini Val di Cecina,00344340500,PagoPA SpA,15376371009
Comune di Montecatini Val di Cecina,00344340500,P.A. Digitale spa,06628860964
Comune di Montecatini Val di Cecina,00344340500,Open Software S.r.l.,02810000279
Comune di Montecatini Val di Cecina,00344340500,Regione Toscana,01386030488
Comune di Montecatini Val di Cecina,00344340500,APKAPPA S.R.L.,08543640158
Comune di Montecchia di Crosara,83000930236,PagoPA SpA,15376371009
Comune di Montecchia di Crosara,83000930236,Maggioli SPA,06188330150
Comune di Montecchia di Crosara,83000930236,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",01484460587
Comune di Montecchia di Crosara,83000930236,Regione del Veneto,80007580279
Comune di Montecchia di Crosara,83000930236,Abaco Spa,02391510266
Comune di Montecchio,81001470558,Regione Umbria,80000130544
Comune di Montecchio,81001470558,PagoPA SpA,15376371009
Comune di Montecchio Emilia,00441110350,PagoPA SpA,15376371009
Comune di Montecchio Emilia,00441110350,Lepida Spa,02770891204
Comune di Montecchio Emilia,00441110350,Next Step Solution,02554480349
Comune di Montecchio Emilia,00441110350,I.C.A. Imposte Comunali Affini Srl,02478610583
Comune di Montecchio Maggiore,00163690241,PagoPA SpA,15376371009
