BusinessName,TaxCode,RegisteredOffice,ZipCode,digitalAddress,vatNumber,recipientCode
Azienda Sanitaria Locale TO3,09735650013,"Via Martiri XXX Aprile, 30",10093,aslto3@cert.aslto3.piemonte.it,09735650013,asa_to3
Azienda Sanitaria Locale TO4,09736160012,"Via Po, 11",10034,direzione.generale@pec.aslto4.piemonte.it,09736160012,ASL_TO4
Azienda Sanitaria Locale TO5 di Chieri,06827170017,Piazza Silvio Pellico 1,10023,protocollo@cert.aslto5.piemonte.it,06827170017,asl_to5c
Azienda Sanitaria Locale VCO,00634880033,"Via Mazzini, 117",28887,protocollo@pec.aslvco.it,00634880033,asl14_vco
Azienda Sanitaria Locale Vercelli,01811110020,"Corso M. Abbiate, 21",13100,aslvercelli@pec.aslvc.piemonte.it,01811110020,asl_vc
Azienda Sanitaria Ospedaliera SS. Antonio e Biagio e C. Arrigo,01640560064,"Via Venezia, 16",15121,asoalessandria@pec.ospedale.al.it,01640560064,os_sant
Azienda Sanitaria Provinciale Catania,04721260877,"Via Santa Maria La Grande, 5",95124,protocollo@pec.aspct.it,04721260877,a_ct
Azienda Sanitaria Provinciale Crotone,01997410798,Via M. Nicoletta c/o Centro Direzionale Il Granaio,88900,direzionegenerale@pec.asp.crotone.it,01997410798,a_101
Azienda Sanitaria Provinciale di Agrigento,02570930848,"Viale Della Vittoria,321",92100,protocollo@pec.aspag.it,02570930848,asp_ag
Azienda Sanitaria Provinciale di Caltanissetta,01825570854,Via Cusmano 1,93100,protocollo.asp.cl@pec.asp.cl.it,01825570854,a_cl
Azienda Sanitaria Provinciale di Catanzaro,02865540799,Via Vinicio Cortese,88100,protocollo@pec.asp.cz.it,02865540799,asp_cz
Azienda Sanitaria Provinciale di Cosenza,02853720783,"Viale Degli Alimena, 8",87100,protocollo@pec.asp.cosenza.it,02853720783,asp_cs
Azienda Sanitaria Provinciale di Enna,01151150867,"Viale Armando Diaz, 7",94100,protocollo.generale@pec.asp.enna.it,01151150867,aspe
Azienda Sanitaria Provinciale di Messina,03051870834,"Via La Farina, 263",98123,protocollogenerale@pec.asp.messina.it,03051870834,asp_me
Azienda Sanitaria Provinciale di Palermo,05841760829,"Via Giacomo Gusmano, 24",90141,direzionegenerale.pec@asppa.it,05841760829,asp_pa
Azienda Sanitaria Provinciale di Siracusa,01661590891,Corso Gelone 17,96100,direzione.generale@pec.asp.sr.it,01661590891,a_sr
Azienda Sanitaria Provinciale di Trapani,02363280815,"Via Mazzini, 1",91100,direzione.generale@pec.asptrapani.it,02363280815,asp_tp
Azienda Sanitaria Provinciale di Vibo Valentia,02866420793,Via Dante Alighieri,89900,aspvibovalentia@pec.it,02866420793,102
Azienda Sanitaria Provinciale N. 5 di Reggio Calabria,02638720801,"Via Sant'Anna II Tronco, 18/p",89128,affarigenerali.asprc@certificatamail.it,02638720801,080
Azienda Sanitaria Provinciale Ragusa,01426410880,"P.zza Igea, 1",97100,protocollo@pec.asp.rg.it,01426410880,a_088
Azienda Sanitaria Regionale Molise,01546900703,Via Ugo Petrella 1,86100,asrem@pec.it,01546900703,a_cb
AZIENDA SANITARIA TERRITORIALE DI PESARO E URBINO,02789340417,"Piazzale CINELLI, 4",61121,ast.pesarourbino@emarche.it,02789340417,R6I7ZSER
Azienda Sanitaria Universitaria Friuli Centrale,02985660303,"Via Pozzuolo, 330",33100,asufc@certsanita.fvg.it,02985660303,asufc
Azienda Sanitaria Universitaria Giuliano Isontina,01337320327,Via Costantino Costantinides 2,34128,asugi@certsanita.fvg.it,01337320327,asugi
Azienda Sanitaria Universitaria Integrata di Trieste,01258370327,"Via Giovanni Sai, 1-3",34128,asuits@certsanita.fvg.it,01258370327,aas1ts
Azienda Sanitaria Universitaria Integrata di Udine,02801610300,Via Pozzuolo 330,33100,asuiud@certsanita.fvg.it,02801610300,aasnq
Azienda Servizi alla Persona A.Suarez,00331540096,"Via Garibaldi, 39",17057,CASASUAREZ@PEC.IT,00331540096,aspas
Azienda Servizi alla Persona Carlo Pezzani,86000150184,"Viale Della Repubblica, 86",27058,aspcarlopezzani@legalmail.it,86000150184,aspcp
Azienda Servizi alla Persona del Forlivese,03882990405,"Via Piccinini, 66",47016,aspforlivese@pec.aspforlivese.it,03882990405,asepf
Azienda Servizi alla Persona del Territorio Suzzarese - Socialis -,02575140203,"Piazza Castello, 1",46029,aziendasocialis@legalmail.it,02575140203,aspts
Azienda Servizi alla Persona Ravenna Cervia e Russi,02312680396,Viale della Lirica 21,48121,pec@pec.aspravennacerviaerussi.it,02312680396,asprcr
Azienda Servizi alla Persona Vittorio Emanuele II,81001870427,Via Santa Caterina 13,60044,amministrazione@pec.aspfabriano.it,81001870427,aspve
Azienda Servizi Comunali alla Persona - Ser.Co.P.,05728560961,Via dei Cornaggia 33,20017,sercop@legalmail.it,05728560961,ASCAP_20230504
Azienda Servizi Igiene Ambientale Napoli Spa,07494740637,"Via Ponte dei Francesi, 37/D",80146,asianapoli.info@pec.it,07494740637,asian
Azienda Servizi Municipalizzati di Merano SpA,01526780216,Via Albertina Brogliati 12,39012,asmmerano@pec.swmeran.it,01526780216,AU2FU7OC
Azienda Servizi Municipalizzati Tione di Trento,01531350229,Via Stenico 11,38079,direzione@pec.asmtione.it,01531350229,asmtt
"Azienda Servizi per la Cittadinanza Interventi Sociali Valli Reno, Lavino e Samoggia",02985591201,"Via Cimarosa, 5/2",40033,insiemeaziendaspeciale@legalmail.it,02985591201,iacis
Azienda Servizi Pubblici Olbia S.P.A.,82004950901,"Via Indonesia, 9",07026,info@pec.aspo.it,82004950901,aspol
Azienda Servizi Pubblici SPA,02315031001,Largo Felice Amati 1,00043,aziendaservizipubblicispa@legalmail.it,02315031001,asp_20200122
Azienda Servizi Sociali di Bolzano,01710790211,Vicolo Gumer 7,39100,assb@legalmail.it,01710790211,assb
Azienda Servizi Territoriali Spa,03376720177,"Via Breda, 18a",25039,astspa@pec.aziendaserviziterritoriali.com,03376720177,asts
AZIENDA SERVIZI TOANO SRL UNIPERSONALE,02135000350,"Corso Trieste, 65",42010,acquatoano@xcert.it,02135000350,JW8PDZ3S
Azienda Servizi Valtrompia Spa,02013000985,"via Giacomo Matteotti, 325",25063,asvt@pec.asvt.it,02013000985,asv_20210503
Azienda Sociale Centro Lario e Valli,02945720130,"Via Porlezza, 10",22018,asclv@pec.aziendasocialeclv.it,02945720130,asclv_20190725
Azienda Sociale Sud Est Milano,97529770154,Via Sergnano N. 2,20097,assemi@legalmail.it,97529770154,assemi
AZIENDA SOCIO SANITARIA LOCALE N. 1 DI SASSARI,02884000908,Via VIA ALCEO CATTALOCHINO 9/11,07100,protocollo@pec.aslsassari.it,02884000908,5DNNOS0T
AZIENDA SOCIO SANITARIA LOCALE N. 2 DELLA GALLURA,02891650901,Via BAZZONI SIRCANA 2,07026,protocollo@pec.aslgallura.it,02891650901,8HFG1ZY6
AZIENDA SOCIO SANITARIA LOCALE N. 3 DI NUORO,01620480911,Via AMERIGO DEMURTAS 1,08100,protocollo@pec.aslnuoro.it,01620480911,7T093CG4
AZIENDA SOCIO SANITARIA LOCALE N. 4 DELL'OGLIASTRA,01620420917,VIA PISCINAS s.n.c.,08045,protocollo@pec.aslogliastra.it,01620420917,JD16WLDQ
AZIENDA SOCIO SANITARIA LOCALE N. 5 DI ORISTANO,01258180957,VIA CARDUCCI 35,09170,protocollo@pec.asloristano.it,01258180957,3EYJH0BU
AZIENDA SOCIO SANITARIA LOCALE N. 6 DEL MEDIO CAMPIDANO,03990320925,VIA GIUSEPPE UNGARETTI 9,09025,protocollo@pec.aslmediocampidano.it,03990320925,NI5S7336
AZIENDA SOCIO SANITARIA LOCALE N. 7 DEL SULCIS,03990310926,VIA DALMAZIA 83,09013,protocollo@pec.aslsulcis.it,03990310926,E8GGUUN1
AZIENDA SOCIO SANITARIA LOCALE N. 8 DI CAGLIARI,03990560926,"Via Lungomare Poetto, 12",09126,protocollo@pec.aslcagliari.it,03990560926,KYH72139
Azienda Socio Sanitaria Territoriale Degli Spedali Civili di Brescia,03775110988,"Piazzale Spedali Civili, 1",25123,protocollo.spedalicivilibrescia@legalmail.it,03775110988,asstb
Azienda Socio Sanitaria Territoriale Dei Sette Laghi,03510050127,"Viale Borri, 57",21100,protocollo@pec.asst-settelaghi.it,03510050127,asstsl
Azienda Socio Sanitaria Territoriale del Garda,03775660982,Localita' Montecroce,25015,protocollo@pec.asst-garda.it,03775660982,asstg
Azienda Socio Sanitaria Territoriale della Brianza,09314320962,"Via Santi Cosma E Damiano, 10",20871,protocollo@pec.asst-brianza.it,09314320962,asstv
Azienda Socio Sanitaria Territoriale della Franciacorta,03775820982,"Viale G. Mazzini, 4",25032,protocollo@pec.asst-franciacorta.it,03775820982,asstf
Azienda Socio Sanitaria Territoriale della Valcamonica,03775830981,"Via Nissolina, 2",25043,protocollo@pec.asst-valcamonica.it,03775830981,asstval
Azienda Socio Sanitaria Territoriale della Valle Olona,03510190121,"Via A. Da Brescia,1",21052,protocollo@pec.asst-valleolona.it,03510190121,asstvo
Azienda Socio Sanitaria Territoriale della Valtellina e dell'Alto Lario,00988090148,"Via Stelvio, 25",23100,protocollo@pec.asst-val.it,00988090148,asstvdal
Azienda Socio Sanitaria Territoriale di Bergamo Est,04114380167,"Via Paderno, 21",24068,protocollo@pec.asst-bergamoest.it,04114380167,asstbe
Azienda Socio Sanitaria Territoriale di Bergamo Ovest,04114450168,"Piazzale Ospedale, 1",24047,protocollo@pec.asst-bgovest.it,04114450168,asstbgo
Azienda Socio Sanitaria Territoriale di Crema,01629350198,"Largo Ugo Dossena, 2",26013,protocollo@pec.asst-crema.it,01629350198,asstc
Azienda Socio Sanitaria Territoriale di Cremona,01629400191,"Viale Concordia, 1",26100,protocollo@pec.asst-cremona.it,01629400191,asstcr
Azienda Socio Sanitaria Territoriale di Lecco,03622120131,"Via Dell'eremo, 9-11",23900,protocollo@pec.asst-lecco.it,03622120131,asstl
Azienda Socio Sanitaria Territoriale di Lodi,09322180960,"Piazza Ospitale, 10",26900,protocollo@pec.asst-lodi.it,09322180960,asstlo
Azienda Socio Sanitaria Territoriale di Mantova,02481840201,"Strada Lago Paiolo, 10",46100,protocollogenerale@pec.asst-mantova.it,02481840201,asstm
Azienda Socio Sanitaria Territoriale di Monza,09314290967,"Via Pergolesi, 33",20900,dir.generale@pec.asst-monza.it,09314290967,asstmb
Azienda Socio Sanitaria Territoriale di Pavia,02613080189,Viale Repubblica 34,27100,protocollo@pec.asst-pavia.it,02613080189,asstpv
Azienda Socio Sanitaria Territoriale Grande Ospedale Metropolitano Niguarda,09315660960,"Piazza Ospedale Maggiore, 3",20162,postacertificata@pec.ospedaleniguarda.it,09315660960,asstn
Azienda Socio Sanitaria Territoriale Lariana,03622110132,"Via Napoleona, 60",22100,protocollo@pec.asst-lariana.it,03622110132,asstla
Azienda Socio Sanitaria Territoriale Melegnano e della Martesana,09320650964,"Via Pandina, 1",20070,protocollo@pec.asst-melegnano-martesana.it,09320650964,asstmm
Azienda Socio Sanitaria Territoriale Nord Milano,09320420962,"Viale Matteotti, 83",20099,protocollo@pec.asst-nordmilano.it,09320420962,asstnm
Azienda Socio Sanitaria Territoriale Papa Giovanni XXIII,04114370168,"Piazza OMS, 1",24127,ufficioprotocollo@pec.asst-pg23.it,04114370168,asstp
Azienda Socio Sanitaria Territoriale Santi Paolo e Carlo,09321970965,"Via Antonio Di Rudini, 8",20142,direzione.generale@pec.asst-santipaolocarlo.it,09321970965,asstspc
Azienda Sociosanitaria 3,03399650104,"Via Bertani, 4",16121,protocollo@pec.asl3.liguria.it,03399650104,asl3_gen
Azienda Sociosanitaria Ligure 5,00962520110,Via Fazio 30,19121,protocollo.generale@pec.asl5.liguria.it,00962520110,as5_SP
Azienda Sociosanitaria Ligure n. 4 - Sistema Sanitario Regione Liguria,01038700991,"Via G B Ghio, 9",16043,protocollo.generale@pec.asl4.liguria.it,01038700991,asl4_chi
Azienda Sociosanitaria Ligure n.1,01083060085,Via Aurelia Ponente 97,18038,protocollo@pec.asl1.liguria.it,01083060085,asl1_im
Azienda Speciale A.Parmiani,02725860122,Via Roma 2,21051,as-parmiani@legalmail.it,02725860122,asparmiani_20200401
Azienda Speciale Albatros Attivita' Sportive Dilettantistiche,01971630981,"Piazzale Della Piscina, 6",25065,az.albatros@legalmail.it,01971630981,asaas
AZIENDA SPECIALE COMUNI RIUNITI,02254180413,"Piazza SAN MICHELE ARCANGELO, 7",61014,comuni.riuniti@pec.it,02254180413,MYH2SPXX
