RagioneSociale,CF,RegisteredOffice,ZipCode,digitalAddress,vatNumber
A-Tono Srl,13075050156,,,,13075050156
A Software Factory Srl,1261280620,,,,1261280620
ACSOFTWARE S.R.L,3496990791,,,,3496990791
Advanced Systems S.p.A.,3383350638,,,,3383350638
Anci Digitale S.p.A.,15483121008,,,,15483121008
ANCITEL,7196850585,,,,7196850585
APKAPPA S.R.L.,8543640158,,,,8543640158
ARCA Servizi s.r.l,9106071005,,,,9106071005
Archidata srl,9613270157,,,,9613270157
ARDESIA S.R.L.,2634040246,,,,2634040246
Argentea S.r.l.,2260390220,,,,2260390220
ARGO SOFTWARE SRL,838520880,,,,838520880
Arianna 2001 S.p.A.,7111460585,,,,7111460585
ASMEL,91055320120,,,,91055320120
Asmenet Calabria Soc. Cons. Arl,2729450797,,,,2729450797
ASSIST SPA,10596000017,,,,10596000017
Autoroute S.R.L.,10318121000,,,,10318121000
AZ RISCOSSIONE TRIBUTI LOCALI S.R.L.,5939530820,,,,5939530820
Banca di Credito Cooperativo Bergamo e Valli,312270168,,,,312270168
BANCA MONTE DEI PASCHI DI SIENA,884060526,,,,884060526
Banca Nazionale del Lavoro S.p.A.,9339391006,,,,9339391006
Banca Popolare di Milano SpA,103200762,,,,103200762
"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149,,,,53810149
Banco BPM Società per Azioni,9722490969,,,,9722490969
BCC di Caravaggio,251470167,,,,251470167
Be Smart s.r.l.,5817461006,,,,5817461006
Bluenext S.r.l.,4228480408,,,,4228480408
BPER BANCA Spa,3830780361,,,,3830780361
BRAV SRL,2818030369,,,,2818030369
CART Ingegneria del Software,1457730412,,,,1457730412
CGMoving Srl,11366540968,,,,11366540968
CINECA consorzio universitario,317740371,,,,317740371
CityPoste Payment Digital S.r.l.,2003750672,,,,2003750672
CIW srl,3928430242,,,,3928430242
Clesius srl,1469760225,,,,1469760225
CMH SRL,4238760617,,,,4238760617
cmsLABS s.r.l.s.,5274540870,,,,5274540870
Codexon S.r.l.,5128560652,,,,5128560652
CONINET SPA,8125671001,,,,8125671001
Consoft s.r.l.,273120337,,,,273120337
Consorzio CBI - Customer to Bank Interaction,97249640588,,,,97249640588
Consorzio I.T. Srl,1321400192,,,,1321400192
Cooperativa EDP La Traccia,317370773,,,,317370773
CREDEMTEL SpA,1378570350,,,,1378570350
Crédit Agricole Group Solutions Società Consortile per azioni,2771790348,,,,2771790348
Credito Valtellinese SC,43260140,,,,43260140
CSE Consorzio Servizi Bancari Soc. Cons. a r.l.,501021208,,,,501021208
CWBI - CodiceWeb banking Innovation SRL,3505120984,,,,3505120984
DCS SOFTWARE E SERVIZI S.R.L.,8063140019,,,,8063140019
