RagioneSociale,CF,RegisteredOffice,ZipCode,digitalAddress,vatNumber
A-Tono Srl,13075050156,,,,13075050156
A Software Factory Srl,01261280620,,,,01261280620
ACSOFTWARE S.R.L,03496990791,,,,03496990791
Advanced Systems S.p.A.,03383350638,,,,03383350638
Anci Digitale S.p.A.,15483121008,,,,15483121008
ANCITEL,07196850585,,,,07196850585
APKAPPA S.R.L.,08543640158,,,,08543640158
ARCA Servizi s.r.l,09106071005,,,,09106071005
Archidata srl,09613270157,,,,09613270157
ARDESIA S.R.L.,02634040246,,,,02634040246
Argentea S.r.l.,02260390220,,,,02260390220
ARGO SOFTWARE SRL,00838520880,,,,00838520880
Arianna 2001 S.p.A.,07111460585,,,,07111460585
ASMEL,91055320120,,,,91055320120
Asmenet Calabria Soc. Cons. Arl,02729450797,,,,2729450797
ASSIST SPA,10596000017,,,,10596000017
Autoroute S.R.L.,10318121000,,,,10318121000
AZ RISCOSSIONE TRIBUTI LOCALI S.R.L.,05939530820,,,,05939530820
Be Smart s.r.l.,05817461006,,,,05817461006
Bluenext S.r.l.,04228480408,,,,04228480408
BRAV SRL,02818030369,,,,02818030369
BPER Banca Spa,03830780361,,,,03830780361
CART Ingegneria del Software,01457730412,,,,01457730412
CGMoving Srl,11366540968,,,,11366540968
CINECA consorzio universitario,00317740371,,,,00317740371
CityPoste Payment Digital S.r.l.,02003750672,,,,02003750672
CIW srl,03928430242,,,,03928430242
Clesius srl,01469760225,,,,01469760225
CMH SRL,04238760617,,,,04238760617
cmsLABS s.r.l.s.,05274540870,,,,05274540870
Codexon S.r.l.,05128560652,,,,05128560652
CONINET SPA,08125671001,,,,08125671001
Consoft s.r.l.,00273120337,,,,00273120337
Consorzio CBI - Customer to Bank Interaction,97249640588,,,,97249640588
Consorzio I.T. Srl,01321400192,,,,01321400192
Cooperativa EDP La Traccia,00317370773,,,,00317370773
CREDEMTEL SpA,01378570350,,,,01378570350
CSE Consorzio Servizi Bancari Soc. Cons. a r.l.,00501021208,,,,00501021208
CWBI - CodiceWeb banking Innovation SRL,03505120984,,,,03505120984
DCS SOFTWARE E SERVIZI S.R.L.,08063140019,,,,08063140019
DE LEONI INFORMATICA s.r.l.,02153830597,,,,02153830597
Dedagroup Public Services S.R.L.,01727860221,,,,01727860221
DEGVOICE S.R.L.,03785250980,,,,03785250980
Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585,,,,80243510585
DITECH srl,09043181008,,,,09043181008
Djungle S.r.l. A Socio Unico,11759750018,,,,11759750018
DOJO Srl,05775200651,,,,05775200651
Donacod s.r.l.,10337950967,,,,10337950967
Dromedian S.r.l.,02147390690,,,,02147390690
E-Fil S.r.l.,03789750100,,,,03789750100
e-SED Società Cooperativa,02695640421,,,,02695640421
E.P.S. ENTERPRISE PROCESS SOLUTIONS S.R.L.,04772390961,,,,04772390961
EASYWAY TECHNOLOGY SRL,08789571216,,,,08789571216
ECHO Sistemi srl,01053340897,,,,01053340897
Engineering Ingegneria Informatica SpA,00967720285,,,,00967720285
Enterprise Services Italia S.r.l.,00282140029,,,,00282140029
Epublic,01902060035,,,,01902060035
ERAMUS SRL,10241261006,,,,10241261006
eRemind srl – PMPAY,11311050964,,,,11311050964
ETESI SRL,02281730842,,,,02281730842
Etruria p.a. S.r.l.,05883740481,,,,05883740481
Exetesis srl,01156370114,,,,01156370114
FindMyLost s.r.l.,09405890964,,,,09405890964
Fintel Engineering S.r.l.,02520050309,,,,02520050309
FlagPay Srl,07783530962,,,,07783530962
Flynet Comunicazioni s.r.l.,03043220833,,,,03043220833
Gestione Servizi SpA,05512020727,,,,05512020727
Halley Informatica,00384350435,,,,00384350435
Halley Lombardia,01343230130,,,,01343230130
Hera S.p.A.,04245520376,,,,04245520376
Hpa Srls,02989240649,,,,02989240649
HYKSOS SRL,03642220267,,,,03642220267
I&S Informatica e Servizi s.r.l.,00665230223,,,,00665230223
iBill S.r.l,14045401008,,,,14045401008
ICCREA Banca SpA,04774801007,,,,04774801007
Icsone srl,04595540750,,,,04595540750
Ikonika S.r.l.,04354060610,,,,04354060610
INFORMATIC ALL SRL,03890340288,,,,03890340288
Infosys S.r.l.,02294060799,,,,02294060799
Innovation Consulting Gmbh (Srl),03067310213,,,,03067310213
INTEGRAA SRL,07783411213,,,,07783411213
Intesa Sanpaolo SPA,00799960158,,,,00799960158
ISWEB S.p.A.,01722270665,,,,01722270665
Italriscossioni Società Italiana di Fiscalità Locale S.r.l.,06092371001,,,,06092371001
ITALSET SRL,03890260759,,,,03890260759
Jarvit S.r.L.,03610910790,,,,03610910790
KOINE' SRL,01934790971,,,,01934790971
Lenis Srl,06449120481,,,,06449120481
Lepida Spa,02770891204,,,,02770891204
Linea Comune Spa,05591950489,,,,05591950489
Link.it s.r.l.,01313050500,,,,01313050500
Madisoft S.p.A.,01818840439,,,,01818840439
Maggioli SPA,06188330150,,,,06188330150
Meditec SRL,01855640510,,,,01855640510
MEG TRIBUTI S.p.A.,16215731007,,,,16215731007
MegASP S.r.l.,09898030151,,,,09898030151
Mercurio Service spa,01413270669,,,,01413270669
Microdisegno srl,05102090155,,,,05102090155
MIT SERVIZI SRL,04225880279,,,,04225880279
