ciBusinessName,ciFiscalCode,ptBusinessName,ptFiscalCode
Findolomiti Energia S.R.L.,02114780220,Provincia Autonoma di Trento,337460224
Finlombarda S.p.A.,01445100157,Regione Lombardia,80050050154
Fintel Engineering S.R.L.,02520050309,E-Fil S.r.l.,3789750100
Fintel Engineering S.R.L.,02520050309,Mercurio Service spa,1413270669
Fintel Engineering S.R.L.,02520050309,Fintel Engineering S.r.l.,2520050309
Fiorano Gestioni Patrimoniali S.r.l.,03024730362,Next Step Solution,2554480349
FIORENZUOLA PATRIMONIO SRL,01462260330,Poste Italiane S.P.A.,97103880585
FIORENZUOLA PATRIMONIO SRL,01462260330,E-Fil S.r.l.,3789750100
FISCIANO SVILUPPO S.P.A.,03854550658,Publisys SPA,975860768
Fiumicino Tributi spa,05904071007,Maggioli SPA,6188330150
FLAVIA SERVIZI S.R.L.,07857381003,P.A. Digitale spa,6628860964
FLAVIA SERVIZI S.R.L.,07857381003,Maggioli SPA,6188330150
Fond. Univ. di Catanzaro Magna G,97067040796,Regione Calabria,2205340793
Fondazione Accademia della Montagna del Trentino,96085730222,Provincia Autonoma di Trento,337460224
Fondazione Benjamin Kofler Apsp,80011110212,Alto Adige Riscossioni Spa,2805390214
Fondazione Bruno Kessler,02003000227,Provincia Autonoma di Trento,337460224
Fondazione Campania Welfare ASP,80044640631,P.A. Digitale spa,6628860964
Fondazione Casa di Riposo Heinrich Von Rottenburg,80012690212,Alto Adige Riscossioni Spa,2805390214
Fondazione Centro Sperimentale di Cinematografia,01602510586,NORDCOM,13384100155
Fondazione Centro Sperimentale di Cinematografia,01602510586,E-Fil S.r.l.,3789750100
FONDAZIONE CLERICI,80037690155,Intesa Sanpaolo SPA,799960158
Fondazione Comunita' di Arco,00503560229,Provincia Autonoma di Trento,337460224
Fondazione Consiglio Nazionale Degli Ingegneri,97834130581,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Fondazione Crosina Sartori Cloch,00443700224,Provincia Autonoma di Trento,337460224
FONDAZIONE DON CARLO GNOCCHI ONLUS,04793650583,Regione Lombardia,80050050154
Fondazione Don Mozzatti D'Aprili,00672400231,Regione del Veneto,80007580279
Fondazione E.N.P.A.M. - Ente Nazionale di Previdenza Ed Assistenza Dei Medici e Degli Odontoiatri,80015110580,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Fondazione Edmund Mach,02038410227,Provincia Autonoma di Trento,337460224
Fondazione Ente Nazionale di Previdenza Ed Assistenza per gli Psicologi,05410091002,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Fondazione Gioacchino Rossini,00145980413,Regione Marche,80008630420
Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,04724150968,Regione Lombardia,80050050154
Fondazione Irccs Istituto Nazionale Dei Tumori,80018230153,Regione Lombardia,80050050154
FONDAZIONE IRCCS POLICLINICO 'S.MATTEO',00303490189,Regione Lombardia,80050050154
Fondazione IRCCS San Gerardo dei Tintori di Monza,12698710964,Regione Lombardia,80050050154
Fondazione Istituto G. Giglio di Cefalù,05205490823,eRemind srl – PMPAY,11311050964
Fondazione Istituto Neurologico C. Besta Milano,01668320151,Regione Lombardia,80050050154
Fondazione Lorenzerhof APSP,82002470217,Alto Adige Riscossioni Spa,2805390214
Fondazione Luigi Maria Monti,97831400581,E-Fil S.r.l.,3789750100
FONDAZIONE MARIA CONSOLATA,84000530182,Progetti e Soluzioni SPA,6423240727
Fondazione Maria Ida Viglino Cultura Musicale,00598260073,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Fondazione Martinsheim,80007260211,Alto Adige Riscossioni Spa,2805390214
Fondazione Museo Storico del Trentino,02050480223,Provincia Autonoma di Trento,337460224
Fondazione Opera Nazionale Assistenza Orfani Sanitari Italiani,00317040541,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Fondazione per Lo Sport del Comune di Reggio Emilia,02299930350,Next Step Solution,2554480349
Fondazione Peter Paul Schrott Apsp,01127210217,Alto Adige Riscossioni Spa,2805390214
Fondazione Pilsenhof Apsp,80008780217,Provincia Autonoma di Trento,337460224
Fondazione Pilsenhof Apsp,80008780217,Alto Adige Riscossioni Spa,2805390214
Fondazione Pitsch Apsp,82004570212,Alto Adige Riscossioni Spa,2805390214
Fondazione Ptv Policlinico Tor Vergata,97503840585,Regione Lazio,80143490581
Fondazione Santobono Pausilipon Onlus,06570281219,Regione Campania,80011990639
Fondazione Scuola dei beni e delle attività culturali,97900380581,Intesa Sanpaolo SPA,799960158
FONDAZIONE SCUOLA DI MUSICA CARLO E GUGLIELMO ANDREOLI,03248520367,Intesa Sanpaolo SPA,799960158
Fondazione Toscana Gabriele Monasterio per La Ricerca Medica e di Sanita Pubblica,93062260505,Regione Toscana,1386030488
FONDAZIONE UNIVERSITARIA EUROPEA,97460810589,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Fondazione Urban Lab Genoa International School,01938620992,Comune di Genova,856930102
Fondazione Venture Impatto Sociale e.t.s.,93160200759,Intesa Sanpaolo SPA,799960158
FONDAZIONE VILLA SALUS della Congregazione delle Suore Mantellate Serve di Maria di Pistoia,04549420273,Regione del Veneto,80007580279
Fondazione Von-kurz Apsp - Casa di Riposo Villabassa,01121900219,Alto Adige Riscossioni Spa,2805390214
FONDIARIA SAFFI S.R.L.,04918690969,Intesa Sanpaolo SPA,799960158
Fondo Nazionale di Previdenza per I Lavoratori di Spedizione Corrieri e Delle Agenzie Marittime Racc. e Mediatori Maritt.,80078850155,Regione Lombardia,80050050154
FORMAPER,97425530157,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1484460587
"Formez PA - Centro Servizi, Assistenza, Studi e Formazione per L'Ammodernamento Delle P.A.",80048080636,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Formigine Patrimonio S.r.l.,02980260364,Next Step Solution,2554480349
Francigena Srl a S.U.,01733690562,Poste Italiane S.P.A.,97103880585
Francigena Srl a S.U.,01733690562,Progetti e Soluzioni SPA,6423240727
Frattamaggiore III- Genoino,95186970638,Ministero dell'istruzione e del merito,80185250588
FREE LUCE&GAS SPA,11788741004,Intesa Sanpaolo SPA,799960158
Friuli Venezia Giulia Strade S.p.A.,01133800324,Regione Autonoma Friuli-Venezia Giulia,80014930327
FUCECCHIO SERVIZI SRL,05637880484,Regione Toscana,1386030488
FUCECCHIO SERVIZI SRL,05637880484,Maggioli SPA,6188330150
G. RODARI SOCIETA’ COOPERATIVA ARL,04472720269,Optimia Srls,10893490960
G.L.E. Ristorazione S.n.c. - (Incassi da comune di Pocapaglia),03606750044,Noviservice srl,2789990922
G.PAOLI ELETTROIMPIANTI SRL,02012500464,Consoft s.r.l.,273120337
Gabinetto Scientifico Letterario G.P. Vieusseux,80009210487,Intesa Sanpaolo SPA,799960158
GAMMA TRIBUTI SRL,02842830651,Advanced Systems S.p.A.,3383350638
GAMMA TRIBUTI SRL,02842830651,Sintax s.r.l.,2177970783
Garante per la protezione dei dati personali - GP,97139590588,Banco BPM Società per Azioni,9722490969
Garda Uno Spa,87007530170,Intesa Sanpaolo SPA,799960158
Ge.A.S.C. Gestione Aziendale Servizi Comunali,90004140126,E-Fil S.r.l.,3789750100
Ge.Fi.L. S.p.A.,01240080117,MegASP S.r.l.,9898030151
GEA Gestioni Ecologiche e Ambientali spa,91007130932,Crédit Agricole Group Solutions Società Consortile per azioni,2771790348
Geam Gestioni Ambientali Spa,01242340998,Intesa Sanpaolo SPA,799960158
GEAT SRL,02418910408,E-Fil S.r.l.,3789750100
Gecim S.R.L.,01708440381,Lepida Spa,2770891204
GECT Euregio Tirolo-Alto Adige-Trentino,94114380218,Alto Adige Riscossioni Spa,2805390214
Gelsia Ambiente s.r.l.,04153040961,E-Fil S.r.l.,3789750100
GEMEAZ ELIOR S.P.A.,05351490965,Optimia Srls,10893490960
GEMEAZ ELIOR S.P.A.,05351490965,E-Fil S.r.l.,3789750100
Genova Parcheggi S.P.A.,03546590104,Comune di Genova,856930102
GeNSS coop. sociale,03825510757,Intesa Sanpaolo SPA,799960158
GEO ENERGY SERVICE SPA,01795990504,Etruria p.a. S.r.l.,5883740481
GEROPA SRL,14699121001,E-Fil S.r.l.,3789750100
GESIN SRL,06260320012,BRAV SRL,2818030369
GESTIONE ACQUA SPA,01880180060,Intesa Sanpaolo SPA,799960158
GESTIONE AMBIENTE S.C.A.R.L.,05082260281,"Unicredit, Societa' per Azioni",348170101
Gestione Ambiente S.p.A.,01492290067,E-Fil S.r.l.,3789750100
Gestione Commissariale del Servizio Idrico Integrato A.T.I. AG9 gia'  Girgenti Acque S.p.A.,02482390842,NORDCOM,13384100155
Gestione Entrate Locali Srl,02091030227,Provincia Autonoma di Trento,337460224
GESTIONE ESERCIZIO ACQUEDOTTI LUCCHESI s.p.a.,01494020462,Intesa Sanpaolo SPA,799960158
Gestione Servizi Desio Srl,02735890960,P.R.T. S.p.A.,487700015
GESTIONE SERVIZI MOBILITA' SPA,01469190936,E-Fil S.r.l.,3789750100
Gestione Servizi Municipali Nord Milano Srl,03749850966,Maggioli SPA,6188330150
Gestione Servizi Municipali Nord Milano Srl,03749850966,Advanced Systems S.p.A.,3383350638
Gestione Servizi Sociali Territoriali S.R.L.,01416160057,APKAPPA S.R.L.,8543640158
Giulianova Patrimonio S.R.L.,01607380670,Poste Italiane S.P.A.,97103880585
Gmb Srl Societa' di Servizi del Collegio Geometri della Provincia di Monza e della Brianza,06139880964,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
GORI S.P.A.,07599620635,Publiacqua SpA,5040110487
GPS Global Parking Solutions S.p.A.,02341640353,BRAV SRL,2818030369
Gran Sasso Acqua S.P.A.,00083520668,Engineering Ingegneria Informatica SpA,967720285
Gran Sasso Science Institute,01984560662,CINECA consorzio universitario,317740371
Griesfeld Apsp,80010410217,Alto Adige Riscossioni Spa,2805390214
GRIM GESTIONE RISORSE IDRICHE MOLISANE S.C.A.R.L.,01884950708,P.A. Digitale spa,6628860964
Grimani Buttari - Residenze per Anziani,00123660425,CREDEMTEL SpA,1378570350
Grundschulsprengel Auer,80024320212,Alto Adige Riscossioni Spa,2805390214
Grundschulsprengel Bozen,80015000211,Alto Adige Riscossioni Spa,2805390214
Grundschulsprengel Brixen,81006250211,Alto Adige Riscossioni Spa,2805390214
Grundschulsprengel Eppan,80004980217,Alto Adige Riscossioni Spa,2805390214
Grundschulsprengel Klausen II Circolo di Scuola Elementare Chiusa II,80021090214,Alto Adige Riscossioni Spa,2805390214
Grundschulsprengel Lana,82006510216,Alto Adige Riscossioni Spa,2805390214
Grundschulsprengel Neumarkt,80013910213,Alto Adige Riscossioni Spa,2805390214
Guglielmo Marconi,91069300589,Ministero dell'istruzione e del merito,80185250588
Health Care Italia S.P.A.,07283000581,Intesa Sanpaolo SPA,799960158
Hera Spa,04245520376,Hera S.p.A.,4245520376
HydroGEA S.p.A.,01683140931,"Unicredit, Societa' per Azioni",348170101
I Care s.r.l. - Uninominale,01588020469,Provincia Autonoma di Trento,337460224
I Care s.r.l. - Uninominale,01588020469,P.A. Digitale spa,6628860964
I CIRCOLO DIDATTICO 'BASILIO CECCHI' DI CASTELLAMMARE DI STABIA,82007850637,Ministero dell'istruzione e del merito,80185250588
I Istituto Comprensivo Nocera Inferiore,94076700650,ARGO SOFTWARE SRL,838520880
I Istituto Comprensivo Nocera Inferiore,94076700650,Ministero dell'istruzione e del merito,80185250588
I. C. Giovanni Blandini,91026560879,ARGO SOFTWARE SRL,838520880
I. C. Giovanni Blandini,91026560879,Ministero dell'istruzione e del merito,80185250588
I. C. Serre - Castelcivita,91057050659,ARGO SOFTWARE SRL,838520880
I. C. Serre - Castelcivita,91057050659,Ministero dell'istruzione e del merito,80185250588
I.C. 'R. Carrieri - C. Colombo',90264310732,ARGO SOFTWARE SRL,838520880
I.C. 'R. Carrieri - C. Colombo',90264310732,Ministero dell'istruzione e del merito,80185250588
I.C.  Ronco Scrivia,95062400106,Ministero dell'istruzione e del merito,80185250588
"I.C. ""DON BOSCO SANTO - MANZONI"" di ANDRIA",90090920720,Ministero dell'istruzione e del merito,80185250588
"I.C. ""Giovanni Paolo II""",90121450721,Ministero dell'istruzione e del merito,80185250588
I.C. 1 Rodino di Ercolano,95285620639,Ministero dell'istruzione e del merito,80185250588
I.C. 2  DAMIANI DI MORBEGNO,91016190141,Ministero dell'istruzione e del merito,80185250588
I.C. 35 SCUDILLO CARAFA SALVEMINI,95186770632,Ministero dell'istruzione e del merito,80185250588
I.C. 4 Sulmona-catullo-salesiane,93076660633,Ministero dell'istruzione e del merito,80185250588
I.C. Alia Roccapalumba Valledolmo,93003390825,Ministero dell'istruzione e del merito,80185250588
I.C. Cava D.T. San Nicola,95178980652,ARGO SOFTWARE SRL,838520880
I.C. Cava D.T. San Nicola,95178980652,Ministero dell'istruzione e del merito,80185250588
I.C. DE AMICIS EDMONDO,92144990493,ARGO SOFTWARE SRL,838520880
I.C. DE AMICIS EDMONDO,92144990493,Ministero dell'istruzione e del merito,80185250588
I.C. De Gasperi-pende,93500940726,Ministero dell'istruzione e del merito,80185250588
I.C. DELEDDA - SGBOSCO,90121930730,Ministero dell'istruzione e del merito,80185250588
I.C. di Giacomo - Santa Chiara,95231420639,Ministero dell'istruzione e del merito,80185250588
I.C. Don Andrea Santoro,80004680593,Ministero dell'istruzione e del merito,80185250588
I.C. Ezio Franceschini di Rho,93546600151,Ministero dell'istruzione e del merito,80185250588
I.C. FERMI-LEOPARDI,91065930868,Ministero dell'istruzione e del merito,80185250588
I.C. Foscolo-Oberdan,95186870630,ARGO SOFTWARE SRL,838520880
I.C. Foscolo-Oberdan,95186870630,Ministero dell'istruzione e del merito,80185250588
I.C. G. ARCOLEO - V. DA FELTRE DI CALTAGIRONE,82002460879,ARGO SOFTWARE SRL,838520880
I.C. G. ARCOLEO - V. DA FELTRE DI CALTAGIRONE,82002460879,Ministero dell'istruzione e del merito,80185250588
I.C. G. Bufalino,91007950883,ARGO SOFTWARE SRL,838520880
I.C. G. Bufalino,91007950883,Ministero dell'istruzione e del merito,80185250588
