BusinessName,TaxCode,RegisteredOffice,ZipCode,digitalAddress,vatNumber,recipientCode
Consorzio Bacino Imbrifero Montano del Varaita,85001990044,"Piazza G. Marconi, 5",12020,consorzio.bimvaraita@legalmail.it,85001990044,cbimdv
Consorzio Bacino Imbrifero Montano dell' Entella,82000750107,Piazza Cavagnari 7,16044,bimentella@pec.it,82000750107,cbimen
Consorzio Bacino Imbrifero Montano dell'Agno,85001170241,"Piazza Del Comune, 8",36078,bimagno@legalmail.it,85001170241,cbima
Consorzio Bacino Imbrifero Montano Lago Como Fiumi Brembo e Serio,80027640160,Via Taramelli 36,24121,bimbg@pec.it,80027640160,cbimbg
Consorzio Bacino Imbrifero Montano Torrente Enza,80012950343,"Piazza Cardinal Ferrari, 1",43025,consorzio.bim.enza@pec.net,80012950343,cbimte
Consorzio Bim del Chiese,86001190221,"Via Oreste Baratieri, 11",38083,bimdelchiesecondino@legalmail.it,86001190221,BIMCHIE
Consorzio Bonifica Cereglio Pieve di Roffeno,03751270376,Via Provinciale 63,40038,cereglio.consorzio@pec.it,03751270376,consbonifaceregno_20220929
Consorzio Bonifica di Paestum,81000270652,Via Magna Graecia 341,84047,consorziopaestum2@pec.it,81000270652,cbp_065
Consorzio Brianteo Villa Greppi,85001680132,"Via Monte Grappa, 21",23876,consorziobrianteo.villagreppi@halleypec.it,85001680132,cbvg
Consorzio C.A.R.S.O.,04002250720,"Strada Prov. Per Casamassima Km. 3,00",70010,consorziocarso@pec.it,04002250720,ccars
Consorzio Casalasco Servizi Sociali,90007540199,Via Corsica 1,26041,amministrazioneconcass@legalmail.it,90007540199,ccss
Consorzio Chierese per I Servizi,90005860011,Strada FONTANETO 119,10023,ccs@postecert.it,90005860011,ccis_
Consorzio Cimiteriale Fra I Comuni di Frattamaggiore Grumo Nevano e Frattaminore,80024840631,Via Lupoli Snc Frattamaggiore,80027,consorziofratta@pec.it,80024840631,cccfgnf
Consorzio Cimiteriale Tra I Comuni di Casoria Arzano Casavatore,80103900637,Via Porziano Snc,80022,direttore@pec.cimiteroarzanocasavatorecasoria.na.it,80103900637,cctic
Consorzio Cimiteriale Tra I Comuni di Mugnano di Napoli e Calvizzano,80101860635,"Piazza Municipio, 1",80018,info@pec.consorziocimiterialemugnanocalvizzano.it,80101860635,cctmnc
Consorzio Comuni B.I.M. Adige Trento,80001130220,"Piazza Centa, 13",38122,info@pec.bimtrento.it,80001130220,ccbimat
Consorzio Comuni B.I.M. Brenta,81000730226,Corso Ausugum 82,38051,bimbrentatrento@legalmail.it,81000730226,ccbim_tn
Consorzio Comuni Bacino Imbrifero Montano di Valle Camonica,00863380176,Piazza Tassara 3,25043,protocollo@pec.bimvallecamonica.bs.it,00863380176,ccbimvc
Consorzio Comuni del Bacino Imbrifero Montano dell'Adige della Provincia di Verona,80010120238,"Via Ca' Di Cozzi, 41",37124,bimadige.vr@pec.it,80010120238,ccbi_023
Consorzio Costruzione e Gestione Impianti Sportivi,01466680137,"Piazza Italia, 1",22070,consorzioimpiantisportivi.cagno@legalmail.it,01466680137,ccgis
Consorzio Culturale del Monfalconese,00168550317,Piazza Unita' 24,34077,consorzio-culturale-monfalconese@certgov.fvg.it,00168550317,ccm_
Consorzio Dei Comuni B.I.M. Sarca-mincio-garda,86001170223,"Viale Dante, 46",38079,bim.sarca@legalmail.it,86001170223,cdcbi
Consorzio Dei Comuni Compresi nel Bacino Imbrifero Montano del Fiume Bacchiglione,83002190243,"Via Pasini, 33",36015,consorziobimbacchiglioneschio@legalmail.it,83002190243,cdccbim
Consorzio dei Comuni del Bacino Imbrifero Montano del Brenta Appartenenti alla Provincia di Belluno,82000710259,"Piazza I Novembre, 14",32030,bimbrentabelluno@pec.it,82000710259,cbiapp
Consorzio dei Comuni del Bacino Imbrifero Montano del Piave  appartenenti  alla Provincia di Belluno,80000330250,Via Masi Simonetti n. 20,32100,segreteria@cert.consorziobimpiave.it,80000330250,Cocopibl
Consorzio Dei Comuni del Bacino Imbrifero Montano dell'Adda,80000410144,"Lungo Mallero Diaz, 18",23100,bimadda@registerpec.it,80000410144,cdcbima
Consorzio dei Comuni del Bacino Imbrifero Montano della Drava,93016030301,"Via Roma, 3",33018,consorzio.bimdrava@certgov.fvg.it,93016030301,cbimd
Consorzio Dei Comuni del Cassinate per La Programmazione e Gestione Dei Servizi Sociali,90009320608,Piazza Sturzo,03030,postmaster@pec.consorzioservizisociali.fr.it,90009320608,cdccl
Consorzio Dei Comuni della Provincia di Bolzano del Bacino Imbrifero Montano dell' Adige,80012990216,"Via Canonico Michael Gamper, 10",39100,bimwegbz@legalmail.it,80012990216,cdcpb
Consorzio Dei Comuni della Valle D'Aosta Bacino Imbrifero Montano della Dora Baltea,80001790072,Piazza Narbonne 16,11100,protocollo@pec.bimvda.it,80001790072,cdcvd_
Consorzio Dei Comuni per L'Acquedotto del Monferrato,82001730066,"Via Ferraris, 3",14036,ccam@legalmail.it,82001730066,cdcla
CONSORZIO DEI NAVIGLI SPA,13157010151,Via Cesare Battisti n. 2,20080,protocollo@pec.consorzionavigli.it,13157010151,Consorzionavigli_20201230
Consorzio dei Servizi Sociali del Verbano,93015370039,"Viale Azari, 104",28924,cssv-verbania@pec.cssv.it,93015370039,CSSV
Consorzio dei Servizi Socio Assistenziali del Chierese,07305160017,"Strada Valle Pasano, 4",10023,protocollocssac@pec.it,07305160017,cdssac
Consorzio del Bacino Imbrifero del Fiume Tronto,92009260446,"Via Alessandria,12",63100,info@pec.bimtronto-ap.it,92009260446,cbift_ap
Consorzio del Bacino Imbrifero Montano del Lago di Como del Brembo e Serio,84003210139,Via Regina Levante,22015,bimcomo@legalmail.it,84003210139,cbiml
Consorzio del Bacino Imbrifero Montano del Tagliamento Nelle Province di Udine e Pordenone,84000550305,Via Renato Del Din 6,33028,consorzio.bimtagliamento@certgov.fvg.it,84000550305,cbimt_ud
Consorzio del Bacino Imbrifero Montano dell'Oglio,80039900164,"Via Casalino, 27",24121,segreteria@pec.bimoglio.it,80039900164,cbimod
Consorzio del Parco Nazionale dello Stelvio,00685060147,"Via De Simoni, 42",23032,parcostelvio@pec.stelviopark.it,00685060147,cpns_so
Consorzio del Ticino,80130230156,Corso Di Porta Nuova 18,20121,regolazione@pec.ticinoconsorzio.it,80130230156,ct_015
Consorzio dell'Adda,80060130152,"Corso Garibaldi, 70",20121,consorzio.adda@legalmail.it,80060130152,ca_015
Consorzio dell'Oglio,80012590172,"Via Solferino, 20/c",25121,segreteria@pec.oglioconsorzio.it,80012590172,co_017
Consorzio della Bonifica Burana,94149560362,"Corso Vittorio Emanuele II, 107",41121,segreteria@pec.consorzioburana.it,94149560362,cbbu
Consorzio della Bonifica Renana,91313990375,"Via Santo Stefano, 56",40125,bonificarenana@pec.it,91313990375,cbrbo
Consorzio della Bonificazione Umbra,02806890543,"Via Arco Di Druso, 37",06049,direzione@pec.bonificaumbra.it,02806890543,cbumb
Consorzio Depurazione Acque Reflue della Valle dell'Orba,80053440063,"Piazza Matteotti, 2",15077,consdeporba@legalmail.it,80053440063,cdar
Consorzio Depurazione del Savonese S.P.A.,92040230093,Via Caravaggio 1,17100,postacert@pec.depuratore.sv.it,92040230093,cdssp
Consorzio Desio Brianza A.S.C.,91005610158,"Via Lombardia, 59",20832,AMMINISTRAZIONE@PEC.CODEBRI.MB.IT,91005610158,codebri
CONSORZIO DI AREA VASTA COVAR14,80102420017,Via Aldo Cagliero N. 3,10041,protocollo.covar14@legalmail.it,80102420017,cvr_001
Consorzio di Bacino 16,08867800016,"P.zza Liberta', 4",10036,amministrazione@cert.consorziobacino16.it,08867800016,cb_to
Consorzio di Bacino Dei Rifiuti dell'Astigiano,00238630057,"Via Brofferio, 83",14100,cbra@legalmail.it,00238630057,cbdr_005
Consorzio di Bacino Verona Due del Quadrilatero,02795630231,"Corso Garibaldi, 24",37069,consorziovr2@legalmail.it,02795630231,con_vr2
Consorzio di Bonifica 3 Medio Valdarno,06432250485,Viale della Toscana 21,50127,info@pec.cbmv.it,06432250485,cb3mv
Consorzio di Bonifica Adige Euganeo,91022300288,Via Augustea 25,35042,adigeuganeo@pec.it,91022300288,cbae_028
Consorzio di Bonifica Alta Pianura Veneta,92021070237,Via Guglielmo Oberdan n 2,37047,consorzio@pec.altapianuraveneta.eu,92021070237,1R9VQFM0
Consorzio di bonifica Bacchiglione,92223390284,"Via Vescovado, 11",35141,bonifica@pec.consorziobacchiglione.it,92223390284,cbac_20160207
Consorzio di Bonifica del Nord Sardegna,01835450907,"Via Vittorio Veneto, 16",07014,cbnordsardegna@pec.it,01835450907,cbns
CONSORZIO DI BONIFICA DEL SANNIO ALIFANO,82000610616,"Viale DELLA LIBERTA', 61",81016,SANNIOALIFANO@PEC.IT,82000610616,TN1NQL32
Consorzio di Bonifica dell'Agro Pontino,91043800597,"Corso G. Matteotti, 101",04100,bonifica.latina@pec.it,91043800597,cbap
Consorzio di Bonifica dell'Emilia Centrale,91149320359,Corso Garibaldi 42,42121,protocollo@pec.emiliacentrale.it,91149320359,cbec_
Consorzio di Bonifica dell'Oristanese,90022600952,"Via Cagliari, 170",09170,tecnicocbo@pec.it,90022600952,cbo
Consorzio di Bonifica dell'Ufita,81001310648,"Via Aldo Moro, 58",83035,bonifica.ufita@pec.it,81001310648,cbuf
Consorzio di Bonifica della Basilicata,93060620775,"Via Annunziatella, 64",75100,consorzio@pec.bonificabasilicata.it,93060620775,cbbas
Consorzio di Bonifica della Gallura,91017110908,Viale Paolo Dettori 43,07021,cbgallura@pec.it,91017110908,cbg_104
Consorzio di Bonifica della Media Pianura Bergamasca,80017830169,"Via Gritti, 21/25",24125,info@pec.cbbg.it,80017830169,cbmpb
Consorzio di Bonifica della Piana di Venafro,80001650946,"Via Colonia Giulia, 2",86079,protocollo@pec.bonificavenafro.it,80001650946,cbp_094
Consorzio di Bonifica della Sardegna Centrale,80002690917,"Via Santa Barbara, 30",08100,protocollo@pec.cbsc.it,80002690917,cbsc
Consorzio di Bonifica della Sardegna Meridionale,80000710923,"Via Dante, 254",09128,cbsm@pec.cbsm.it,80000710923,cbsm
Consorzio di Bonifica Delle Marche,92049990416,"Via degli Abeti, 160",61122,pec@pec.bonificamarche.it,92049990416,cbdm
Consorzio di Bonifica di Piacenza,91096830335,Strada Val Nure,29122,cbpiacenza@pec.it,91096830335,cbp_033
